epoch,step,reward,kl_divergence,GPT-2 response,PPO response
1,8,0.10000000149011612,0.0,"I was so excited to see the new movie, but I didn't know what it would be like for me in a different way than when we first started shooting.""","""You did a job which, while not perfect, was still excellent as well, at times."" You're absolutely right on that point but it's almost like I just saw more of the action from where you stood up here than anything else? In '92 for example…how many fights have happened since then or is there ever something to add now?"" Yeah we need some updates later tonight maybe though"
1,16,0.08319543302059174,1.168419361114502,"""I'm not sure if I can say that, but it was a very good performance by the band."" ""It's hard to describe how much fun this is,"" said guitarist John D'Angelo of his first set at The Fillmore West in New York City on May 24th (the same day he played with fellow rockers Metallica). He added, however, there are some things about","I was in the middle of shooting a video (video) I put on YouTube so that people might see it with their own eyes instead, because when they look at me we would do all kinds ""oh what's this"" stuff - you know [expletive] shit about God...

"
1,24,0.550000011920929,0.35296928882598877,"I'm not sure if it's a good movie, but I think that this is one of those movies where you're going to have people who are like ""Oh my God! This was so bad!"" and they'll say something about how great he looks in his black suit or whatever because there were no white actors on screen at all (and then we get into some scenes with him). It just","I was so upset about that stuff yesterday, but it seemed pretty bad with a lot of other people I'd gone to see for like four nights! ""That kind and size can't be my thing."" The first one is great; there's just something inescapable undercurrent here all these years later on another stage where this whole set-up plays out from different angles as you go through your"
1,32,0.09640254825353622,-2.659572124481201,"""I'm not sure I can do it, but the way he's doing this is so bad that you're going to have a hard time getting your head around him."" ""He was just trying too much,"" said one of the other men in his group who had been on duty at the scene for about an hour before they got shot dead by police officers with their hands up as if holding them","I hate that the idea of some weirdly sexy, ""skewed to,"" female-dominated subgenre is used as shorthand for every other fetish genre imaginable (i'e., sex with guys). It makes me nauseous so I can't even do a word about what these songs should be saying -- but it's certainly good enough! And by extension, you also have an example in your"
1,40,0.09850746393203735,-0.8515681624412537,"The first time you see this film, it's a very dark and depressing story of an American family who are forced into marriage by their own parents in order for them not to be able get married at all (the only way they can do that) but also because there's no one else around with whom to talk about what happened on TV or how much money was spent trying desperately hard to make up","The first one in a series of ""Diary"" (a very un-fortunate film by me) was released back after 3 weeks at an estimated $90 million worldwide and that's before any major foreign markets — because, you know what? The most critical buzz about it has now been over 4 hours long for all theaters who have seen It on blu ray or DVD; there are no other"
1,49,0.0992647036910057,0.6971691846847534,"""I was a little bit of an idiot, I had to be."" ""You're not the only one who's been in this mess,"" said Mr Trump at his first press conference since he won re-election last year with more than $1 billion pledged by billionaire businessman Donald J Bush (who has also donated millions). The president told reporters that it would have been better for him if they'd","' ""As the 'Trotskyists"" are fond of saying, their own party stands by a long-neglected historical record which is to be kept hidden in secret for two millennia from our public conscience'. And then there was an attack on its intellectual integrity.' The Soviet state propaganda manual says he wrote it because his colleagues had been so obsessed with Trotsky as they feared that if anyone went along"
2,7,0.09621211886405945,0.9707663059234619,"The first thing I did was to write a script for the film, and it's an American-made horror story that is based on real people who are in prison or incarcerated (the ""prisoners"" of The Shining) with their families at home watching TV shows like Hannibal Lecter; they're being tortured by police officers as part Of Course They Are Not Criminals - which has been shown before","- The film was in a black and white shoot - so many blacks, we didn't have the full cast of Dr. No to be on screen! We were mostly shooting an African woman dressed as Doctor Who? I've never met someone wearing that costume before (as far back Asylums is from) with all their faces totally dismembered or gaunt... A lot of people who watched"
2,15,0.08991402387619019,2.5099945068359375,"I was a little bit disappointed in this movie, but I loved it and its characters (and their character) - they are all very good-looking people who have been through so much of life with them... The only thing that made me sad is how many times we were told to ""go back"" or ""get out"". It's not about being an American hero; it just shows you what","You know who I love? The one that's ""the best"". A dark, cold-hearted (but still beautiful) movie about a lonely man looking for adventure and trying to get away from his wife when she turns him on in an interview with her partner - just after they die.. And it has every good reason to be!"
2,23,0.09843750298023224,6.600306987762451,"""I'm a woman, and I've been in the business for 20 years – my husband is an executive at Amazon; we're both women who have worked with them.""
And it's not just that she has to work as ""a man"", or be paid by her employer (or even herself) - but also that he/she works so hard because of his/her gender-ident","[S]he is a self-absorbed lass, and to the contrary (or maybe they want it that way – not us) he's all about The Girl Who Played Soccer at St Andrews [a team of her friends - including herself, wearing shorts as she walked around New York with them]: I used 'in' in an episode for my magazine when we were shooting A Love Story"
2,31,0.0941176488995552,4.913850784301758,"""I'm a woman, and I've been in the business for 20 years – my husband is an executive at Amazon; we're both women who have worked with them.""
And it's not just that she has to work as ""a man"", but also her own company (and its CEO) - which means they are all men of colour too. The whole thing about being white-sh","What do we see when a liberal in the White House, having built-in racism and antiwarism is so brazenly self-serving? What of white men or women who have failed to live up - perhaps their first instinct - to it after decades of war against Black people? On what they are becoming partaking in — by virtue rather than not fighting for them at all? Who has won"
